,id,atom_La,atom_Ba,atom_Sr,atom_Pr,atom_Ca,atom_Mn,atom_Fe,atom_Co,atom_Ni,atom_Cu,tsne_0,tsne_1
197,S00158,0.0,0.8,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.85558444,0.71276945
198,S00159,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.20192504,0.17132112
199,S00160,0.0,0.8,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8541343,0.2973518
200,S00161,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15818158,0.6461867
201,S00162,0.0,0.2,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7533313,0.7605862
202,S00163,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2405565,0.25232205
203,S00164,0.0,0.2,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.89513975,0.21750954
204,S00165,0.0,0.8,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.21592242,0.70892406
205,S00166,0.0,0.8,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.85585225,0.7134823
206,S00167,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.19868103,0.16606726
207,S00168,0.0,0.8,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.8595912,0.30318746
208,S00169,0.0,0.0,0.8,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.15386425,0.64381075
209,S00170,0.0,0.0,0.8,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.7482352,0.7648183
210,S00171,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.23698309,0.25919613
211,S00172,0.0,0.0,0.8,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.90439934,0.21729404
212,S00173,0.0,0.2,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.11278108,0.7389441
213,S00174,0.0,0.2,0.0,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.776569,0.8700021
214,S00175,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.13473377,0.33537313
215,S00176,0.0,0.2,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.9621398,0.28398407
216,S00177,0.0,0.0,0.2,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.107287675,0.73133457
217,S00178,0.0,0.0,0.2,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.77112997,0.8720522
218,S00179,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.13431591,0.33519077
219,S00180,0.0,0.0,0.2,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.96292156,0.27589494
220,S00181,0.0,0.8,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.21712504,0.71066135
221,S00182,0.0,0.8,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.85632724,0.7129846
222,S00183,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.19238311,0.16913362
223,S00184,0.0,0.8,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.8543625,0.3036554
224,S00185,0.0,0.0,0.8,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.15427114,0.6430553
225,S00186,0.0,0.0,0.8,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.74677974,0.7645963
226,S00187,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.24116667,0.2549928
227,S00188,0.0,0.0,0.8,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.8990934,0.2126177
228,S00189,0.0,0.0,0.0,0.2,0.8,0.0,0.0,1.0,0.0,0.0,0.10569188,0.7377743
229,S00190,0.0,0.0,0.0,0.2,0.8,0.0,1.0,0.0,0.0,0.0,0.76511973,0.87356806
230,S00191,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,1.0,0.0,0.13251923,0.33488378
231,S00192,0.0,0.0,0.0,0.2,0.8,1.0,0.0,0.0,0.0,0.0,0.9668928,0.28810656
232,S00193,0.0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.27224115,0.8647954
233,S00194,0.0,0.2,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.639271,0.9035619
