id,pred_avg_Pnma_uncorrected,pred_avg_Pbcm_uncorrected
S00777,0.489957446,0.465452775
S00778,0.496226761,0.47485838
S00779,0.48915271,0.46596877
S00780,0.498088861,0.482816875
S00781,0.489333048,0.467517735
S00782,0.49880057,0.485043515
S00783,0.515590774,0.48916495
S00784,0.516003376,0.48895824
S00785,0.515415201,0.49257302
S00786,0.487338197,0.46528399
S00787,0.496815967,0.475703475
S00788,0.512921776,0.49290944
S00789,0.533356574,0.51888825
S00790,0.533116895,0.515634745
S00791,0.534955613,0.5173269
S00792,0.532087874,0.518023265
S00793,0.490260983,0.464054675
S00794,0.496978275,0.478035375
S00795,0.491822004,0.47069775
S00796,0.498071862,0.479601135
S00797,0.490625139,0.471773145
S00798,0.498282491,0.480764215
S00799,0.488633486,0.468535365
S00800,0.496120974,0.478202635
S00801,0.49144948,0.479452085
S00802,0.48651268,0.468221935
S00803,0.490832366,0.477059555
S00804,0.487077059,0.47428484
S00805,0.486374254,0.470316915
S00806,0.48889041,0.47403476
S00807,0.488407414,0.476963975
S00808,0.485307092,0.47410743
S00809,0.44939585,0.47296961
S00810,0.4678959,0.49416505
S00811,0.454646989,0.47223467
S00812,0.473526561,0.497990685
S00813,0.500377223,0.49617675
S00814,0.501737846,0.49352691
S00815,0.447879581,0.47258879
S00816,0.46923603,0.49379612
S00817,0.500823555,0.49751474
S00818,0.485428978,0.507657855
S00819,0.486494904,0.50915052
S00820,0.492135146,0.51111508
S00821,0.455260812,0.47696208
S00822,0.461423525,0.48578559
S00823,0.470008307,0.483049735
S00824,0.481201681,0.49442449
S00825,0.478106293,0.48219274
S00826,0.490869348,0.49258369
S00827,0.450251831,0.473246735
S00828,0.473741569,0.50046235
S00829,0.497083559,0.500319125
S00830,0.485416203,0.510112195
S00831,0.476724309,0.5037884
S00832,0.491713452,0.501354015
S00833,0.448583572,0.44766552
S00834,0.462411683,0.471563845
S00835,0.448732034,0.44957061
S00836,0.462299049,0.46229517
S00837,0.468365942,0.465074185
S00838,0.469008175,0.477904685
S00839,0.450043742,0.44904216
S00840,0.461801614,0.464827785
S00841,0.46989771,0.47514902
S00842,0.492764133,0.4912277
S00843,0.493567305,0.49040876
S00844,0.493141563,0.4916375
S00845,0.456041345,0.451229005
S00846,0.458948442,0.45682566
S00847,0.453185967,0.454903825
S00848,0.461374291,0.46846315
S00849,0.458305907,0.450890275
S00850,0.470151619,0.468421055
S00851,0.452802508,0.452762475
S00852,0.471091746,0.469816165
S00853,0.475588872,0.469838335
S00854,0.480422682,0.47697749
S00855,0.477039985,0.47555777
S00856,0.479255478,0.481543045
S00857,0.443086385,0.44781457
S00858,0.458501758,0.462044375
S00859,0.443607182,0.442528565
S00860,0.45898352,0.46345329
S00861,0.462359957,0.45769347
S00862,0.461349065,0.455475115
